ZIP,Building type (service class), Consumption (mlbs) , Consumption (Mg) 
"10048
",Commercial,72117,32712
"10001
(40.75025902143676, -73.99688630375988)",Commercial,13108,5946
"10003
(40.73194394755518, -73.98887214913032)",Commercial,7757,3519
"10002
(40.71612146793143, -73.98583147024613)",Large Residential,154049,69876
"10003
(40.73194394755518, -73.98887214913032)",Large Residential,101042,45832
"10001
(40.75025902143676, -73.99688630375988)",Commercial,177244,80397
"10002
(40.71612146793143, -73.98583147024613)",Commercial,104967,47612
"10001
(40.75025902143676, -73.99688630375988)",Commercial,32974,14957
"10004
(40.688827825343935, -74.01911250583743)",Commercial,13951,6328
"10003
(40.73194394755518, -73.98887214913032)",Commercial,10168,4612
"10001
(40.75025902143676, -73.99688630375988)",Large Residential,422902,191825
"10002
(40.71612146793143, -73.98583147024613)",Commercial,2962,1343
"10003
(40.73194394755518, -73.98887214913032)",Commercial,186776,84720
"10021
(40.76920532766377, -73.959183941086)",Commercial,126330,57302
"10022
(40.758630224005685, -73.96809182217982)",Commercial,81345,36898
"10013
(40.721242188776046, -74.00888900022716)",Large Residential,9492,4305
"10036
(40.75934682719435, -73.989860554421)",Commercial,31939,14487
"10014
(40.73358645135369, -74.01019960472792)",Large Residential,7340,3329
"10011
(40.74471526669623, -74.00460000028977)",Commercial,3185,1445
"10005
(40.7061257920717, -74.00858468583453)",Commercial,28535,12943
"10017
(40.75245652744684, -73.97297648087982)",Large Residential,1786465,810327
"10022
(40.758630224005685, -73.96809182217982)",Commercial,1755941,796481
"10014
(40.73358645135369, -74.01019960472792)",Commercial,739,335
"10019
(40.76761164715987, -73.99180550022362)",Commercial,38019,17245
"10006
(40.70825614030866, -74.01355356964149)",Commercial,71987,32653
"10016
(40.745242969987146, -73.97823298586354)",Commercial,737916,334713
"10028
(40.776344978837756, -73.95296667956859)",Commercial,292775,132800
"10128
(40.781770000585084, -73.95062814906976)",Large Residential,3373,1530
"10038
(40.70935929189784, -74.00307186237649)",Large Residential,102786,46623
"10016
(40.745242969987146, -73.97823298586354)",Commercial,21855,9913
"10028
(40.776344978837756, -73.95296667956859)",Large Residential,70157,31823
"10036
(40.75934682719435, -73.989860554421)",Large Residential,185204,84007
"10009
(40.72664935898081, -73.97911148500697)",Commercial,26038,11811
"10006
(40.70825614030866, -74.01355356964149)",Commercial,7007,3178
"10017
(40.75245652744684, -73.97297648087982)",Commercial,168800,76566
"10012
(40.72553802086304, -73.99789641059084)",Large Residential,2514,1140
"10019
(40.76761164715987, -73.99180550022362)",Large Residential,589675,267472
"10036
(40.75934682719435, -73.989860554421)",Commercial,4103,1861
"10006
(40.70825614030866, -74.01355356964149)",Large Residential,16759,7602
"10011
(40.74471526669623, -74.00460000028977)",Commercial,93803,42549
"10035
(40.79381703542788, -73.91931750020245)",Commercial,46948,21295
"10014
(40.73358645135369, -74.01019960472792)",Commercial,12458,5651
"10013
(40.721242188776046, -74.00888900022716)",Commercial,76658,34771
"10020
(40.7594985131459, -73.98007439721562)",Commercial,400627,181721
"10004
(40.688827825343935, -74.01911250583743)",Commercial,21594,9795
"10021
(40.76920532766377, -73.959183941086)",Commercial,253883,115159
"10010
(40.73914078212147, -73.98289845639863)",Large Residential,98209,44547
"10016
(40.745242969987146, -73.97823298586354)",Large Residential,181132,82160
"10020
(40.7594985131459, -73.98007439721562)",Commercial,656,298
"10012
(40.72553802086304, -73.99789641059084)",Commercial,628,285
"10023
(40.774536138232236, -73.97994335610099)",Commercial,328452,148983
"10021
(40.76920532766377, -73.959183941086)",Commercial,32023,14526
"10017
(40.75245652744684, -73.97297648087982)",Commercial,221034,100259
"10038
(40.70935929189784, -74.00307186237649)",Commercial,238716,108280
"10005
(40.7061257920717, -74.00858468583453)",Commercial,5521,2504
"10009
(40.72664935898081, -73.97911148500697)",Commercial,1326,602
"10036
(40.75934682719435, -73.989860554421)",Commercial,1276990,579233
"10024
(40.78362556816552, -73.96653900057436)",Commercial,2111,958
"10020
(40.7594985131459, -73.98007439721562)",Large Residential,4337,1967
"10009
(40.72664935898081, -73.97911148500697)",Large Residential,5547,2516
"10007
(40.71363051943297, -74.00913138370635)",Large Residential,200407,90903
"10018
(40.756840774582145, -73.99669149981281)",Large Residential,11889,5393
"10013
(40.721242188776046, -74.00888900022716)",Commercial,862,391
"10022
(40.758630224005685, -73.96809182217982)",Commercial,21918,9942
"10028
(40.776344978837756, -73.95296667956859)",Commercial,946,429
"10025
(40.79685012763133, -73.96372581059762)",Commercial,227,103
"10021
(40.76920532766377, -73.959183941086)",Large Residential,117350,53229
"10033
(40.85621992920642, -73.94585900019268)",Commercial,8030,3642
"10007
(40.71363051943297, -74.00913138370635)",Commercial,9050,4105
"10026
(40.80305812163505, -73.95334277604826)",Large Residential,3019,1369
"10019
(40.76761164715987, -73.99180550022362)",Commercial,150215,68136
"10019
(40.76761164715987, -73.99180550022362)",Commercial,983027,445893
"10019
(40.76761164715987, -73.99180550022362)",Commercial,115730,52494
"10005
(40.7061257920717, -74.00858468583453)",Large Residential,34476,15638
"10018
(40.756840774582145, -73.99669149981281)",Commercial,15940,7230
"10024
(40.78362556816552, -73.96653900057436)",Large Residential,14682,6659
"10011
(40.74471526669623, -74.00460000028977)",Large Residential,71882,32605
"10022
(40.758630224005685, -73.96809182217982)",Large Residential,1279536,580388
"10010
(40.73914078212147, -73.98289845639863)",Commercial,8039,3646
"10038
(40.70935929189784, -74.00307186237649)",Commercial,12944,5871
"10007
(40.71363051943297, -74.00913138370635)",Commercial,176697,80148
"10023
(40.774536138232236, -73.97994335610099)",Large Residential,199301,90402
"10065
(40.76430121303059, -73.96303993544461)",Commercial,286837,130107
"10004
(40.688827825343935, -74.01911250583743)",Commercial,277308,125785
"10012
(40.72553802086304, -73.99789641059084)",Commercial,9855,4470
"10010
(40.73914078212147, -73.98289845639863)",Commercial,331014,150145
"10065
(40.76430121303059, -73.96303993544461)",Commercial,24267,11007
"10024
(40.78362556816552, -73.96653900057436)",Commercial,116397,52797
"10023
(40.774536138232236, -73.97994335610099)",Commercial,2760,1252
"10017
(40.75245652744684, -73.97297648087982)",Commercial,6839913,3102533
"10075
(40.77293949176419, -73.95609016263086)",Large Residential,17430,7906
"10009
(40.72664935898081, -73.97911148500697)",Commercial,356037,161496
"10018
(40.756840774582145, -73.99669149981281)",Commercial,265270,120325
"10022
(40.758630224005685, -73.96809182217982)",Commercial,29046,13175
"10065
(40.76430121303059, -73.96303993544461)",Large Residential,139824,63423
"10011
(40.74471526669623, -74.00460000028977)",Commercial,338,154
"10004
(40.688827825343935, -74.01911250583743)",Large Residential,58818,26679
"10075
(40.77293949176419, -73.95609016263086)",Commercial,15672,7109
"10065
(40.76430121303059, -73.96303993544461)",Commercial,94145,42704
"10075
(40.77293949176419, -73.95609016263086)",Commercial,6308,2861
"10025
(40.79685012763133, -73.96372581059762)",Large Residential,28881,13100
"10017
(40.75245652744684, -73.97297648087982)",Commercial,193412,87730
