Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) 
"10300
",Commercial,470,50
"10335
",Commercial,647,68
"10360
",Large residential,33762,3562
"11200
",Commercial,32125,3389
"11200
",Institutional,3605,380
"11200
",Small residential,3960,418
"11254
",Small residential,1896,200
"11274
",Commercial,8364,882
"11279
",Commercial,2579,272
"11279
",Large residential,301,32
"11303
",Commercial,13039,1376
"11303
",Small residential,3009,317
"11313
",Small residential,3488,368
"11314
",Small residential,6011,634
"11315
",Commercial,8520,899
"11315
",Institutional,339,36
"11315
",Large residential,335091,35354
"11315
",Small residential,4458,470
"11323
",Commercial,3637,384
"11332
",Commercial,3795,400
"11337
",Commercial,4928,520
"11343
",Small residential,2454,259
"11350
",Commercial,10048,1060
"11388
",Commercial,823,87
"11400
",Commercial,21866,2307
"11400
",Industrial,275,29
"11400
",Institutional,93140,9827
"11400
",Large residential,280,30
"11400
",Small residential,51072,5388
"11402
",Commercial,65,7
"11403
",Small residential,1127,119
"11438
",Institutional,1770,187
"11441
",Small residential,1126,119
"11446
",Small residential,604,64
"11450
",Commercial,455,48
"11468
",Institutional,49184,5189
"11468
",Small residential,1601,169
"11469
",Commercial,151,16
"11469
",Institutional,41819,4412
"11472
",Institutional,7869,830
"11473
",Institutional,40595,4283
"11473
",Small residential,7335,774
"11474
",Large residential,2223970,234641
"11475
",Institutional,8503,897
"11477
",Institutional,22660,2391
"11477
",Large residential,493904,52110
"11478
",Institutional,19018,2007
"11479
",Institutional,21169,2233
"11485
",Institutional,10790,1138
"11696
",Small residential,5218,551
"10007
(40.71363051943297, -74.00913138370635)",Residential,12845,1355
"10002
(40.71612146793143, -73.98583147024613)",Residential,550055,58034
"10012
(40.72553802086304, -73.99789641059084)",Residential,178497,18832
"10003
(40.73194394755518, -73.98887214913032)",Residential,260502,27484
"10001
(40.75025902143676, -73.99688630375988)",Residential,58338,6155
"10013
(40.721242188776046, -74.00888900022716)",Residential,228453,24103
"10005
(40.7061257920717, -74.00858468583453)",Residential,265,28
"10006
(40.70825614030866, -74.01355356964149)",Residential,2076,219
"10010
(40.73914078212147, -73.98289845639863)",Residential,61263,6464
"10009
(40.72664935898081, -73.97911148500697)",Residential,186224,19648
"10011
(40.74471526669623, -74.00460000028977)",Residential,192654,20326
"10075
(40.77293949176419, -73.95609016263086)",Large Residential,73358,7740
"11103
(40.76286893025696, -73.91327185810974)",Commercial,2788104,294161
"11105
(40.780092072491186, -73.90960650023976)",Residential,403403,42561
"11432
(40.71311535449007, -73.79282099978928)",Commercial,2979507,314355
"10031
(40.82495420507257, -73.9501244360938)",Commercial,1901756,200646
"10466
(40.89080973018497, -73.84600906306775)",Residential,6056272,638971
"10459
(40.82552621616202, -73.89313106784448)",Large Residential,62003,6542
"11413
(40.66971118122609, -73.75087393328533)",Institutional,394872,41661
"10451
(40.82069640711353, -73.92384136798472)",Large Residential,3433811,362286
"11434
(40.6769452621142, -73.77530690169215)",Large residential,38846378,4098510
"11209
(40.62338709723679, -74.03065295347096)",Small residential,9963344,1051189
"10464
(40.875709096797436, -73.81229725041771)",Residential,46873,4945
"11415
(40.708286075142325, -73.82855612156771)",Residential,1303,137
"10302
(40.63083331110846, -74.13773429869889)",Large residential,321677,33939
"11385
(40.70122489161548, -73.88334858436963)",Industrial,1048061,110576
"11201
(40.69467825879468, -73.98992086835335)",Industrial,3887016,410102
"11208
(40.67401318266229, -73.87206493005243)",Institutional,2265878,239063
"11212
(40.66279716995348, -73.91298489433734)",Large residential,25048890,2642798
"11001
(40.72139000494485, -73.70739692842545)",Commercial,375299,39596
"11230
(40.62192951023877, -73.96551106018723)",Institutional,3604096,380252
"10466
(40.89080973018497, -73.84600906306775)",Commercial,2343491,247251
"11239
(40.64949607998017, -73.8655249998788)",Small residential,187050,19735
"10075
(40.77293949176419, -73.95609016263086)",Commercial,1145955,120905
"10305
(40.596184688172855, -74.07507238488262)",Small residential,8586364,905909
"10464
(40.875709096797436, -73.81229725041771)",Commercial,75,8
"10458
(40.86260132868841, -73.88479001504714)",Large Residential,2881283,303991
"10040
(40.85809553188335, -73.92925548994884)",Commercial,1511169,159437
"10003
(40.73194394755518, -73.98887214913032)",Residential,3229606,340742
"10080
(40.71445199976006, -74.01547499997122)",Commercial,359,38
