Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) 
"11231
(40.6775543117821, -74.00467670436637)",Small residential,5330545,562402
"11377
(40.74519376448069, -73.9048471440804)",Large Residential,91130,9615
"11106
(40.761699790013324, -73.9316632529567)",Residential,1827237,192784
"11102
(40.77152402451418, -73.92643545073543)",Residential,311766,32893
"10027
(40.811549564460904, -73.95290033568193)",Large Residential,10352199,1092215
"11355
(40.7512997969481, -73.82147854789662)",Residential,503099,53080
"10465
(40.827628067581315, -73.82241314135337)",Commercial,3489361,368147
"10039
(40.82668192862815, -73.93777090780111)",Commercial,7605045,802375
"11361
(40.76418884813688, -73.77232552860022)",Commercial,2049571,216241
"10467
(40.8770479121315, -73.87153250082423)",Commercial,3067369,323625
"10034
(40.8706171092922, -73.9242232587963)",Commercial,1961050,206902
"10307
(40.508004527487, -74.24211428194849)",Small residential,3667832,386977
"10029
(40.79161072055837, -73.94403228106489)",Large Residential,10842289,1143922
"11001
(40.72139000494485, -73.70739692842545)",Commercial,79704,8409
"11415
(40.708286075142325, -73.82855612156771)",Commercial,462,49
"11429
(40.70991312049415, -73.73864031609764)",Residential,796,84
"11416
(40.68457809700163, -73.8496016684822)",Commercial,736110,77664
"11362
(40.759074216601846, -73.73430017711144)",Commercial,2594439,273728
"11102
(40.77152402451418, -73.92643545073543)",Commercial,3509357,370257
"11366
(40.72816440726166, -73.79226817393703)",Commercial,4025,425
"11207
(40.670802431187326, -73.89384115004901)",Institutional,3278246,345873
"11004
(40.74323783435864, -73.71201500019208)",Large Residential,3975637,419452
"11375
(40.720707263029794, -73.84628429608335)",Commercial,2724624,287463
"11220
(40.641184928741495, -74.01676472671073)",Commercial,5007824,528353
"11367
(40.730323085042414, -73.82610630716033)",Large Residential,1724999,181997
"11374
(40.72646491702238, -73.86148084756303)",Large residential,9176417,968163
"11222
(40.72825312178418, -73.94715978319738)",Institutional,2368948,249937
"10012
(40.72553802086304, -73.99789641059084)",Commercial,3676344,387875
"11418
(40.69637041236467, -73.84031024991805)",Commercial,1462567,154309
"10009
(40.72664935898081, -73.97911148500697)",Large Residential,44314,4675
"10006
(40.70825614030866, -74.01355356964149)",Commercial,1361410,143636
"11413
(40.66971118122609, -73.75087393328533)",Industrial,387601,40894
"10474
(40.810882923108466, -73.88235636235618)",Residential,558002,58872
"10308
(40.552935295427574, -74.15130275981448)",Large residential,77333,8159
"10452
(40.83772426336412, -73.9233322114124)",Commercial,1823135,192351
"11356
(40.7849280967543, -73.84181070040347)",Commercial,2433066,256702
"10021
(40.76920532766377, -73.959183941086)",Commercial,5344734,563899
"11238
(40.67886241346963, -73.9638204696389)",Commercial,2045915,215855
"11419
(40.68871379040917, -73.82288833053201)",Large residential,221654,23386
"10029
(40.79161072055837, -73.94403228106489)",Residential,1856481,195869
"10474
(40.810882923108466, -73.88235636235618)",Residential,114041,12032
"10040
(40.85809553188335, -73.92925548994884)",Commercial,717611,75712
"11105
(40.780092072491186, -73.90960650023976)",Commercial,3603071,380144
"10038
(40.70935929189784, -74.00307186237649)",Large Residential,217207,22917
"10014
(40.73358645135369, -74.01019960472792)",Residential,3950218,416770
"11365
(40.73987184371066, -73.79462153515567)",Commercial,963,102
"10024
(40.78362556816552, -73.96653900057436)",Commercial,926,98
"11368
(40.749678220373596, -73.85304068857687)",Small residential,11110386,1172208
"11040
(40.74529996182383, -73.6796319322678)",Commercial,1051227,110910
"11215
(40.665557251366124, -73.97968153557434)",Commercial,5232962,552107
"11357
(40.78628404147537, -73.81123206101074)",Small residential,589,62
"11378
(40.72145310497689, -73.90854350068196)",Commercial,3345377,352956
"11432
(40.71311535449007, -73.79282099978928)",Residential,77137,8138
"10030
(40.81843517604261, -73.94276530357587)",Residential,159864,16867
"11206
(40.70191201682616, -73.94237919854112)",Commercial,3420403,360872
"11218
(40.64322700851966, -73.9764486221062)",Small residential,9322895,983618
"10075
(40.77293949176419, -73.95609016263086)",Residential,110074,11613
"11372
(40.75163073936716, -73.88361254528269)",Large residential,14227014,1501030
"11105
(40.780092072491186, -73.90960650023976)",Commercial,2763314,291545
"11421
(40.69176458756573, -73.85702228584978)",Small residential,7298987,770084
"10128
(40.781770000585084, -73.95062814906976)",Commercial,8661160,913801
"11413
(40.66971118122609, -73.75087393328533)",Commercial,639059,67424
"11367
(40.730323085042414, -73.82610630716033)",Commercial,970445,102387
"11426
(40.73704138495202, -73.72415699894628)",Commercial,1380,146
"10025
(40.79685012763133, -73.96372581059762)",Residential,3408769,359644
"10010
(40.73914078212147, -73.98289845639863)",Residential,1026844,108338
"10018
(40.756840774582145, -73.99669149981281)",Commercial,3808435,401811
"11364
(40.745924680379744, -73.75790275560763)",Residential,269069,28388
"10069
(40.77825400032191, -73.98854199991331)",Commercial,791481,83506
"11412
(40.69812711747255, -73.75923519834566)",Industrial,164379,17343
"10306
(40.56602048965391, -74.11994566905736)",Industrial,3660,386
"10034
(40.8706171092922, -73.9242232587963)",Residential,226754,23924
"10012
(40.72553802086304, -73.99789641059084)",Commercial,6584,695
"10468
(40.869693003729196, -73.89892699248668)",Commercial,7690,811
"10472
(40.829730432513486, -73.87013213139272)",Commercial,1887751,199168
"11427
(40.72931057432362, -73.75067602128132)",Small residential,2286768,241267
"11211
(40.711589765255496, -73.95817675075642)",Commercial,4822516,508802
"10467
(40.8770479121315, -73.87153250082423)",Residential,2670008,281701
"11237
(40.704095739826585, -73.92099423399668)",Large residential,4718001,497776
"11209
(40.62338709723679, -74.03065295347096)",Commercial,2452630,258766
"11207
(40.670802431187326, -73.89384115004901)",Large residential,18203649,1920587
"11203
(40.649721601170995, -73.93427608567276)",Small residential,13346866,1408169
"10004
(40.688827825343935, -74.01911250583743)",Commercial,1326154,139917
"10023
(40.774536138232236, -73.97994335610099)",Commercial,10588895,1117188
"10474
(40.810882923108466, -73.88235636235618)",Commercial,2094768,221010
"10026
(40.80305812163505, -73.95334277604826)",Commercial,5647551,595848
"10473
(40.81773147093071, -73.86053700008245)",Residential,3609517,380824
"10461
(40.846960590359004, -73.840632836736)",Residential,4848889,511585
"11357
(40.78628404147537, -73.81123206101074)",Commercial,2399589,253170
"10022
(40.758630224005685, -73.96809182217982)",Commercial,2849019,300587
"11357
(40.78628404147537, -73.81123206101074)",Residential,324086,34193
"10027
(40.811549564460904, -73.95290033568193)",Residential,331029,34925
"10024
(40.78362556816552, -73.96653900057436)",Residential,403600,42582
"10019
(40.76761164715987, -73.99180550022362)",Commercial,12204102,1287601
"11415
(40.708286075142325, -73.82855612156771)",Commercial,887,94
"10458
(40.86260132868841, -73.88479001504714)",Commercial,4109461,433571
"11435
(40.70119264912154, -73.80979665579099)",Commercial,2935798,309743
"11377
(40.74519376448069, -73.9048471440804)",Large residential,9466158,998733
"11427
(40.72931057432362, -73.75067602128132)",Commercial,661448,69786
"11004
(40.74323783435864, -73.71201500019208)",Commercial,280325,29576
"11434
(40.6769452621142, -73.77530690169215)",Institutional,2215716,233770
"10032
(40.83693034905639, -73.94917852197119)",Large Residential,10872811,1147142
"11224
(40.576304656334855, -73.99953200040147)",Industrial,101615,10721
"11364
(40.745924680379744, -73.75790275560763)",Commercial,768785,81111
"11415
(40.708286075142325, -73.82855612156771)",Institutional,580482,61244
"10038
(40.70935929189784, -74.00307186237649)",Commercial,4135128,436279
"11422
(40.66161349396765, -73.736051726406)",Commercial,295,31
"11370
(40.75935377085989, -73.89184400040028)",Institutional,1231730,129954
"10470
(40.90012797192844, -73.8712277502604)",Commercial,878692,92707
"10452
(40.83772426336412, -73.9233322114124)",Residential,986430,104074
"11355
(40.7512997969481, -73.82147854789662)",Commercial,4323496,456153
"11231
(40.6775543117821, -74.00467670436637)",Large residential,8892620,938221
"11201
(40.69467825879468, -73.98992086835335)",Commercial,13571483,1431867
"11426
(40.73704138495202, -73.72415699894628)",Residential,2508430,264653
"11239
(40.64949607998017, -73.8655249998788)",Large residential,33558083,3540566
"10459
(40.82552621616202, -73.89313106784448)",Residential,317074,33453
"11436
(40.67571820912809, -73.79646501494847)",Commercial,275889,29108
"10285
(40.711871000346434, -74.01440299999842)",Commercial,41397,4368
"11214
(40.604011809897145, -74.0009690001192)",Large residential,7906290,834158
"11370
(40.75935377085989, -73.89184400040028)",Small residential,5080675,536040
"11428
(40.721396964798146, -73.74193729726841)",Residential,69640,7347
"10020
(40.7594985131459, -73.98007439721562)",Large Residential,271824,28679
"11103
(40.76286893025696, -73.91327185810974)",Residential,454090,47909
"10459
(40.82552621616202, -73.89313106784448)",Commercial,1859762,196215
"11427
(40.72931057432362, -73.75067602128132)",Large Residential,1587862,167528
"10065
(40.76430121303059, -73.96303993544461)",Commercial,2130613,224792
"11434
(40.6769452621142, -73.77530690169215)",Industrial,284067,29971
"11421
(40.69176458756573, -73.85702228584978)",Institutional,154578,16309
"11413
(40.66971118122609, -73.75087393328533)",Small residential,10114455,1067132
"10014
(40.73358645135369, -74.01019960472792)",Residential,213234,22497
"10001
(40.75025902143676, -73.99688630375988)",Residential,1476126,155740
"11370
(40.75935377085989, -73.89184400040028)",Industrial,37449,3951
"11226
(40.64650500230408, -73.9571900991437)",Large residential,19482081,2055469
"11433
(40.698104881734935, -73.7875740339145)",Large residential,5080122,535981
"10451
(40.82069640711353, -73.92384136798472)",Commercial,8071587,851598
"10314
(40.59649030298516, -74.16599111879503)",Large residential,2046659,215934
"11433
(40.698104881734935, -73.7875740339145)",Commercial,26725,2820
"11205
(40.693882095282504, -73.96433450773128)",Institutional,566498,59769
"11697
(40.55962437096798, -73.91006299970763)",Commercial,95842,10112
"10016
(40.745242969987146, -73.97823298586354)",Commercial,7176247,757134
"10033
(40.85621992920642, -73.94585900019268)",Commercial,1599674,168775
"11354
(40.76862022064671, -73.82719028070687)",Residential,299334,31581
"10013
(40.721242188776046, -74.00888900022716)",Residential,4372985,461374
"11411
(40.694293339066405, -73.73568329125084)",Industrial,4193,442
"11429
(40.70991312049415, -73.73864031609764)",Small residential,5893890,621838
"11201
(40.69467825879468, -73.98992086835335)",Institutional,4499131,474684
"10312
(40.54295597733653, -74.18037681723627)",Large residential,3034,320
"10025
(40.79685012763133, -73.96372581059762)",Residential,507504,53545
"10017
(40.75245652744684, -73.97297648087982)",Commercial,2506308,264430
"11373
(40.73871040256307, -73.87835115518163)",Institutional,2030783,214259
"10012
(40.72553802086304, -73.99789641059084)",Residential,2706972,285601
"11368
(40.749678220373596, -73.85304068857687)",Commercial,4130867,435830
"10028
(40.776344978837756, -73.95296667956859)",Commercial,4496346,474390
"10459
(40.82552621616202, -73.89313106784448)",Residential,2246422,237010
"11367
(40.730323085042414, -73.82610630716033)",Commercial,6820750,719627
"11419
(40.68871379040917, -73.82288833053201)",Institutional,150090,15835
"10031
(40.82495420507257, -73.9501244360938)",Residential,607749,64121
"10304
(40.59122944258473, -74.1113280000871)",Industrial,272952,28798
"10306
(40.56602048965391, -74.11994566905736)",Institutional,434767,45870
"10462
(40.84225833665295, -73.85799663293824)",Commercial,2619354,276356
"10039
(40.82668192862815, -73.93777090780111)",Residential,81485,8597
"11224
(40.576304656334855, -73.99953200040147)",Large residential,36143134,3813303
"10453
(40.852786838341956, -73.91342678431863)",Commercial,1766420,186367
"10025
(40.79685012763133, -73.96372581059762)",Commercial,2954498,311716
"10470
(40.90012797192844, -73.8712277502604)",Residential,1431048,150984
"11385
(40.70122489161548, -73.88334858436963)",Small residential,15255284,1609518
"10006
(40.70825614030866, -74.01355356964149)",Residential,15601,1646
"11220
(40.641184928741495, -74.01676472671073)",Institutional,625816,66027
"10303
(40.633032309993155, -74.16834884981955)",Industrial,27422,2893
"11693
(40.6183036047276, -73.82495531523557)",Large residential,2505401,264334
"11372
(40.75163073936716, -73.88361254528269)",Institutional,367432,38766
"10024
(40.78362556816552, -73.96653900057436)",Large Residential,215638,22751
"11695
(40.59760800020911, -73.820967000027)",Commercial,29091,3069
"10469
(40.86818180274804, -73.84656868779467)",Residential,623043,65734
"11222
(40.72825312178418, -73.94715978319738)",Small residential,4373864,461467
"10302
(40.63083331110846, -74.13773429869889)",Commercial,1185147,125040
"11370
(40.75935377085989, -73.89184400040028)",Residential,1414,149
"11428
(40.721396964798146, -73.74193729726841)",Residential,6282,663
"11429
(40.70991312049415, -73.73864031609764)",Commercial,755,80
"10069
(40.77825400032191, -73.98854199991331)",Commercial,2123051,223994
"10030
(40.81843517604261, -73.94276530357587)",Commercial,4456113,470145
"11375
(40.720707263029794, -73.84628429608335)",Industrial,483373,50999
"10010
(40.73914078212147, -73.98289845639863)",Commercial,3814933,402497
"10001
(40.75025902143676, -73.99688630375988)",Commercial,7191956,758792
"11358
(40.760350968822195, -73.79632645819947)",Commercial,2055,217
"10037
(40.81329776108288, -73.93728252556804)",Residential,33817,3568
"10007
(40.71363051943297, -74.00913138370635)",Commercial,1220273,128746
"10128
(40.781770000585084, -73.95062814906976)",Large Residential,220365,23250
"11216
(40.680758670876, -73.94926775090596)",Large residential,6405467,675813
"10034
(40.8706171092922, -73.9242232587963)",Large Residential,281557,29706
"11214
(40.604011809897145, -74.0009690001192)",Institutional,855968,90309
"10038
(40.70935929189784, -74.00307186237649)",Commercial,1452146,153210
"10007
(40.71363051943297, -74.00913138370635)",Large Residential,12021,1268
"11414
(40.65817022817356, -73.84496263981396)",Industrial,4334,457
"11361
(40.76418884813688, -73.77232552860022)",Residential,290730,30674
"10022
(40.758630224005685, -73.96809182217982)",Residential,122395,12913
"11428
(40.721396964798146, -73.74193729726841)",Large residential,172865,18238
"11215
(40.665557251366124, -73.97968153557434)",Large residential,6712652,708222
"10017
(40.75245652744684, -73.97297648087982)",Commercial,3708661,391284
"10036
(40.75934682719435, -73.989860554421)",Commercial,10571859,1115390
"11375
(40.720707263029794, -73.84628429608335)",Small residential,7403805,781143
"11417
(40.6763637308016, -73.84454275534387)",Large residential,287216,30303
"10310
(40.632789000212256, -74.11645860538027)",Institutional,256154,27026
"11373
(40.73871040256307, -73.87835115518163)",Residential,5089,537
"11242
(40.69315000037227, -73.99102900038804)",Commercial,147434,15555
"11369
(40.76341327370369, -73.8723788986672)",Small residential,5658707,597025
"11360
(40.78070133439911, -73.78226733686807)",Residential,2617396,276150
"10009
(40.72664935898081, -73.97911148500697)",Commercial,2008255,211882
"11373
(40.73871040256307, -73.87835115518163)",Large residential,9562956,1008945
"10454
(40.805846930091775, -73.91628504651766)",Commercial,9709459,1024402
"10453
(40.852786838341956, -73.91342678431863)",Commercial,7851638,828392
"10040
(40.85809553188335, -73.92925548994884)",Residential,445116,46962
"10455
(40.813535754971156, -73.9053552520432)",Commercial,4937392,520923
"10030
(40.81843517604261, -73.94276530357587)",Commercial,879734,92817
"11106
(40.761699790013324, -73.9316632529567)",Commercial,2708112,285721
"11358
(40.760350968822195, -73.79632645819947)",Residential,405678,42801
"11218
(40.64322700851966, -73.9764486221062)",Institutional,342884,36176
"10018
(40.756840774582145, -73.99669149981281)",Residential,476865,50312
"10037
(40.81329776108288, -73.93728252556804)",Commercial,590552,62307
"11427
(40.72931057432362, -73.75067602128132)",Residential,1373653,144928
"10471
(40.90199442310421, -73.9036265005625)",Commercial,2240882,236426
"11210
(40.62772226387142, -73.946537919989)",Small residential,11755834,1240306
"10128
(40.781770000585084, -73.95062814906976)",Residential,2367827,249819
"11233
(40.67813043816926, -73.91977647550391)",Industrial,88898,9379
"11204
(40.619055848049015, -73.98479859887618)",Large residential,4614998,486908
"11373
(40.73871040256307, -73.87835115518163)",Industrial,159820,16862
"11422
(40.66161349396765, -73.736051726406)",Commercial,519522,54812
"10018
(40.756840774582145, -73.99669149981281)",Large Residential,526802,55581
"11225
(40.66317005855143, -73.95370110911887)",Commercial,1296975,136838
"11210
(40.62772226387142, -73.946537919989)",Commercial,1224750,129218
"11228
(40.61654071408276, -74.0132778473947)",Large residential,761559,80349
"10309
(40.530393118347774, -74.21893861432557)",Industrial,1230604,129836
"11236
(40.64002149379695, -73.90112193992553)",Commercial,3108542,327969
"10003
(40.73194394755518, -73.98887214913032)",Large Residential,495206,52247
"10474
(40.810882923108466, -73.88235636235618)",Large Residential,3339390,352324
"11214
(40.604011809897145, -74.0009690001192)",Commercial,3050502,321845
"10036
(40.75934682719435, -73.989860554421)",Residential,73600,7765
"11374
(40.72646491702238, -73.86148084756303)",Industrial,3834,405
"10039
(40.82668192862815, -73.93777090780111)",Commercial,430554,45426
"10011
(40.74471526669623, -74.00460000028977)",Commercial,4672054,492928
"11354
(40.76862022064671, -73.82719028070687)",Commercial,7628542,804854
"11225
(40.66317005855143, -73.95370110911887)",Small residential,4686218,494422
"10456
(40.8304366800088, -73.9077651995043)",Residential,600008,63304
"11217
(40.68231210132245, -73.97956718857483)",Large residential,7818509,824896
"10309
(40.530393118347774, -74.21893861432557)",Commercial,1195656,126148
"10013
(40.721242188776046, -74.00888900022716)",Commercial,6067132,640116
"10312
(40.54295597733653, -74.18037681723627)",Small residential,16356892,1725744
"11230
(40.62192951023877, -73.96551106018723)",Small residential,11665262,1230750
"11204
(40.619055848049015, -73.98479859887618)",Commercial,1607460,169596
"11040
(40.74529996182383, -73.6796319322678)",Commercial,42315,4464
"10007
(40.71363051943297, -74.00913138370635)",Commercial,981522,103556
"11226
(40.64650500230408, -73.9571900991437)",Commercial,2807970,296257
"11432
(40.71311535449007, -73.79282099978928)",Large Residential,2212791,233462
"10020
(40.7594985131459, -73.98007439721562)",Commercial,263276,27777
"11236
(40.64002149379695, -73.90112193992553)",Industrial,805099,84942
"10031
(40.82495420507257, -73.9501244360938)",Large Residential,1034833,109181
"11364
(40.745924680379744, -73.75790275560763)",Residential,4453633,469883
"10457
(40.84579837129786, -73.89832418681175)",Commercial,3139507,331236
"10461
(40.846960590359004, -73.840632836736)",Commercial,3065943,323474
"10019
(40.76761164715987, -73.99180550022362)",Residential,1511255,159446
"11102
(40.77152402451418, -73.92643545073543)",Residential,1941012,204788
"10028
(40.776344978837756, -73.95296667956859)",Commercial,2078,219
"10003
(40.73194394755518, -73.98887214913032)",Commercial,8855716,934328
"11365
(40.73987184371066, -73.79462153515567)",Large residential,4277,451
"11428
(40.721396964798146, -73.74193729726841)",Small residential,3960945,417902
"11371
(40.775567374634704, -73.87086549974299)",Commercial,1381802,145788
"11228
(40.61654071408276, -74.0132778473947)",Industrial,543497,57342
"11233
(40.67813043816926, -73.91977647550391)",Commercial,1223131,129047
"10026
(40.80305812163505, -73.95334277604826)",Commercial,1153347,121685
"11691
(40.600614338480966, -73.76256777468302)",Commercial,7506142,791940
"11235
(40.57841410882412, -73.94026000009887)",Commercial,3818158,402837
"10045
(40.70786499996984, -74.00814400004555)",Commercial,16246,1714
"10473
(40.81773147093071, -73.86053700008245)",Large Residential,13657,1441
"11354
(40.76862022064671, -73.82719028070687)",Commercial,7429045,783806
"10040
(40.85809553188335, -73.92925548994884)",Residential,515640,54403
"11377
(40.74519376448069, -73.9048471440804)",Small residential,7978253,841750
"11411
(40.694293339066405, -73.73568329125084)",Small residential,5417452,571572
"11235
(40.57841410882412, -73.94026000009887)",Industrial,44596,4705
"10305
(40.596184688172855, -74.07507238488262)",Large residential,1136630,119921
"10452
(40.83772426336412, -73.9233322114124)",Commercial,8504273,897248
"11241
(40.69328899958771, -73.99062699983614)",Small residential,947,100
"11230
(40.62192951023877, -73.96551106018723)",Large residential,12513612,1320256
"11208
(40.67401318266229, -73.87206493005243)",Large residential,17908171,1889412
"10030
(40.81843517604261, -73.94276530357587)",Residential,2016283,212729
"11229
(40.60123350732056, -73.94436854117521)",Large residential,13147358,1387120
"11104
(40.74489336663561, -73.92054134530679)",Commercial,1377109,145293
"10460
(40.84309034804119, -73.87860282506028)",Commercial,7936792,837376
"11695
(40.59760800020911, -73.820967000027)",Small residential,6691,706
"11243
(40.685030000034544, -73.97807500016108)",Commercial,558,59
"10461
(40.846960590359004, -73.840632836736)",Residential,587242,61957
"11229
(40.60123350732056, -73.94436854117521)",Institutional,447194,47181
"11213
(40.67122516920625, -73.93644336636822)",Institutional,889348,93831
"10467
(40.8770479121315, -73.87153250082423)",Large Residential,4811979,507691
"11413
(40.66971118122609, -73.75087393328533)",Large residential,112283,11846
"11225
(40.66317005855143, -73.95370110911887)",Large residential,12401180,1308394
"10019
(40.76761164715987, -73.99180550022362)",Large Residential,1239760,130802
"11416
(40.68457809700163, -73.8496016684822)",Large residential,138988,14664
"11212
(40.66279716995348, -73.91298489433734)",Small residential,7377894,778409
"10460
(40.84309034804119, -73.87860282506028)",Residential,469613,49547
"11423
(40.71722229567246, -73.7671414999802)",Commercial,660047,69639
"11218
(40.64322700851966, -73.9764486221062)",Commercial,2009772,212042
"10002
(40.71612146793143, -73.98583147024613)",Large Residential,115301,12165
"10004
(40.688827825343935, -74.01911250583743)",Large Residential,5877,620
"11366
(40.72816440726166, -73.79226817393703)",Residential,2205608,232704
"11218
(40.64322700851966, -73.9764486221062)",Industrial,441018,46530
"10029
(40.79161072055837, -73.94403228106489)",Commercial,2344076,247313
"11417
(40.6763637308016, -73.84454275534387)",Small residential,6605848,696954
"10467
(40.8770479121315, -73.87153250082423)",Commercial,14662,1547
"10065
(40.76430121303059, -73.96303993544461)",Residential,1795744,189461
"11211
(40.711589765255496, -73.95817675075642)",Small residential,9211590,971874
"10004
(40.688827825343935, -74.01911250583743)",Residential,54549,5755
"11374
(40.72646491702238, -73.86148084756303)",Small residential,3149947,332337
"10023
(40.774536138232236, -73.97994335610099)",Large Residential,394079,41578
"10075
(40.77293949176419, -73.95609016263086)",Residential,1035531,109254
"10009
(40.72664935898081, -73.97911148500697)",Commercial,8554651,902564
"11693
(40.6183036047276, -73.82495531523557)",Small residential,948328,100054
"11220
(40.641184928741495, -74.01676472671073)",Industrial,2234971,235802
"11364
(40.745924680379744, -73.75790275560763)",Commercial,3008945,317461
"11428
(40.721396964798146, -73.74193729726841)",Commercial,65563,6917
"10457
(40.84579837129786, -73.89832418681175)",Large Residential,182574,19263
"11221
(40.69128803951145, -73.92761792792498)",Institutional,1174968,123966
"11412
(40.69812711747255, -73.75923519834566)",Commercial,522819,55160
"11436
(40.67571820912809, -73.79646501494847)",Small residential,4012282,423318
"10304
(40.59122944258473, -74.1113280000871)",Institutional,606346,63973
"10464
(40.875709096797436, -73.81229725041771)",Commercial,602169,63532
"10040
(40.85809553188335, -73.92925548994884)",Large Residential,186062,19631
"10468
(40.869693003729196, -73.89892699248668)",Residential,907812,95779
"11377
(40.74519376448069, -73.9048471440804)",Commercial,358163,37788
"10303
(40.633032309993155, -74.16834884981955)",Institutional,163704,17272
"11105
(40.780092072491186, -73.90960650023976)",Large Residential,23820,2513
"11369
(40.76341327370369, -73.8723788986672)",Institutional,168544,17782
"10469
(40.86818180274804, -73.84656868779467)",Commercial,2237093,236026
"11694
(40.57657830564432, -73.85077700055808)",Commercial,2058660,217200
"10472
(40.829730432513486, -73.87013213139272)",Residential,2650312,279623
"10458
(40.86260132868841, -73.88479001504714)",Commercial,2860723,301822
"11428
(40.721396964798146, -73.74193729726841)",Institutional,196563,20738
"10025
(40.79685012763133, -73.96372581059762)",Commercial,8752223,923409
"10011
(40.74471526669623, -74.00460000028977)",Large Residential,400282,42232
"11427
(40.72931057432362, -73.75067602128132)",Large residential,2347279,247651
"11368
(40.749678220373596, -73.85304068857687)",Large residential,6347326,669678
"11694
(40.57657830564432, -73.85077700055808)",Large residential,1573127,165974
"11422
(40.66161349396765, -73.736051726406)",Small residential,7114276,750596
"10034
(40.8706171092922, -73.9242232587963)",Residential,473019,49906
