Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Primary Property Type - Self Selected,DOF Number of Buildings
1133,AVENUE OF THE AMER  ,MANHATTAN,10036,In Compliance ,76,8112.3,Office,2
300,MADISON AVENUE      ,MANHATTAN,10017,In Compliance ,79,10512.8,Office,1
200,LIBERTY STREET      ,MANHATTAN,10281,In Compliance ,79,14138.4,Office,1
225,LIBERTY STREET      ,MANHATTAN,10280,In Compliance ,75,14211.1,Office,1
140,MARSH AVENUE        ,STATEN ISLAND       ,10314,In Compliance ,76,747.7,Retail Store,1
100,BAYCHESTER AVENUE   ,BRONX               ,10475,In Compliance ,85,734,Retail Store,1
250,VESEY STREET        ,MANHATTAN,10281,In Compliance ,80,6100.2,Office,1
206,WEST   34 STREET    ,MANHATTAN,10001,In Compliance ,59,26439.2,Office,4
1155,AVENUE OF THE AMER  ,MANHATTAN,10036,In Compliance ,90,3054.3,Office,1
655,   3 AVENUE         ,MANHATTAN,10017,In Compliance ,86,2453.3,Office,1
114,WEST   47 STREET    ,MANHATTAN,10036,In Compliance ,84,2961.2,Financial Office,1
733,   3 AVENUE         ,MANHATTAN,10017,In Compliance ,75,2731.4,Office,1
1472,BROADWAY            ,MANHATTAN,10036,In Compliance ,61,13661.8,Office,1
675,   3 AVENUE         ,MANHATTAN,10017,In Compliance ,66,5436,Office,1
425,LEXINGTON AVENUE    ,MANHATTAN,10017,In Compliance ,72,4982.7,Office,1
320,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,79,5298.3,Financial Office,1
140,BROADWAY            ,MANHATTAN,10005,In Compliance ,68,12402.5,Office,1
380,PARK AVENUE SOUTH   ,MANHATTAN,10010,In Compliance ,78,11334.2,Office,1
107,NORTH MOORE STREET  ,MANHATTAN,10013,In Compliance ,78,11474.5,Office,1
151,EAST   58 STREET    ,MANHATTAN,10022,In Compliance ,40,16669.8,Office,2
1608,SHORE PARKWAY       ,BROOKLYN            ,11214,In Compliance ,68,656.7,Retail Store,7
2161,FOREST AVENUE       ,STATEN ISLAND       ,10303,In Compliance ,82,322.8,Retail Store,1
460,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,75,2138.3,Office,1
222,EAST   41 STREET    ,MANHATTAN,10017,In Compliance ,83,2233.7,Office,1
1451,BROADWAY            ,MANHATTAN,10036,In Compliance ,82,5936.8,Office,1
599,LEXINGTON AVENUE    ,MANHATTAN,10022,In Compliance ,75,6301.8,Office,1
1,MADISON AVENUE      ,MANHATTAN,10010,In Compliance ,76,9280.4,Office,1
462,PARK AVENUE SOUTH   ,MANHATTAN,10016,In Compliance ,76,1998.5,Office,2
3,TIMES SQUARE        ,MANHATTAN,10036,In Compliance ,45,9625.8,Office,1
650,   5 AVENUE         ,MANHATTAN,10019,In Compliance ,72,2490.4,Office,1
11,WEST   42 STREET    ,MANHATTAN,10036,In Compliance ,42,12469.4,Office,1
300,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,85,3988.5,Office,1
395,LEXINGTON AVENUE    ,MANHATTAN,10017,In Compliance ,85,7233.2,Office,1
666,   3 AVENUE         ,MANHATTAN,10017,In Compliance ,75,4622.3,Office,1
200,PARK AVENUE         ,MANHATTAN,10017,In Compliance ,53,29741.8,Office,1
150,WEST   56 STREET    ,MANHATTAN,10019,In Compliance ,86,1671.8,Office,1
    25-01,JACKSON AVENUE      ,QUEENS,11101,In Compliance ,66,8644.5,Office,1
345,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,39,20898.6,Office,1
353,EAST   68 STREET    ,MANHATTAN,10065,In Compliance ,10,602.4,Medical Office,1
250,PARK AVENUE         ,MANHATTAN,10017,In Compliance ,79,2911,Office,1
110,WALL STREET         ,MANHATTAN,10005,In Compliance ,100,671.3,Office,1
413,MADISON AVENUE      ,MANHATTAN,10017,In Compliance ,89,1074.9,Office,1
35,MADISON AVENUE      ,MANHATTAN,10010,In Compliance ,55,4714.1,Office,1
7,WORLD TRADE CENTER  ,MANHATTAN,10007,In Compliance ,69,12646.9,Office,1
1,RIVER PLACE         ,MANHATTAN,10036,In Compliance ,3,7540.9,Multifamily Housing,1
77,FRONT STREET        ,MANHATTAN,10005,In Compliance ,71,7311.7,Office,1
455,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,45,10815,Hotel,1
301,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,23,16329.8,Hotel,1
330,MADISON AVENUE      ,MANHATTAN,10017,In Compliance ,82,5309.8,Office,1
909,   3 AVENUE         ,MANHATTAN,10022,In Compliance ,83,5816.3,Office,1
1280,AVENUE OF THE AMER  ,MANHATTAN,10119,In Compliance ,70,16126.9,Office,1
393,   7 AVENUE         ,MANHATTAN,10001,In Compliance ,81,7093.6,Office,1
770,BROADWAY            ,MANHATTAN,10003,In Compliance ,86,6200.4,Office,1
150,EAST   58 STREET    ,MANHATTAN,10022,In Compliance ,78,4066.4,Office,1
640,   5 AVENUE         ,MANHATTAN,10019,In Compliance ,72,2340,Office,1
350,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,52,5182.1,Office,1
20,BROAD STREET        ,MANHATTAN,10004,In Compliance ,79,3788.6,Office,1
153,WEST   54 STREET    ,MANHATTAN,10019,In Compliance ,28,4773.1,Hotel,1
230,PARK AVENUE         ,MANHATTAN,10017,In Compliance ,78,9588.2,Office,1
120,WEST   55 STREET    ,MANHATTAN,10019,In Compliance ,32,21132.6,Office,2
605,   3 AVENUE         ,MANHATTAN,10016,In Compliance ,78,7232.8,Office,1
1631,BROADWAY            ,MANHATTAN,10019,In Compliance ,71,21445.4,Office,1
900,   3 AVENUE         ,MANHATTAN,10022,In Compliance ,82,3031.7,Office,1
801,   7 AVENUE         ,MANHATTAN,10019,In Compliance ,23,11123.2,Hotel,1
712,   5 AVENUE         ,MANHATTAN,10019,In Compliance ,80,3092.2,Office,1
850,   3 AVENUE         ,MANHATTAN,10022,In Compliance ,82,3696.4,Office,1
745,   5 AVENUE         ,MANHATTAN,10022,In Compliance ,74,3520.2,Office,1
1177,AVENUE OF THE AMER  ,MANHATTAN,10036,In Compliance ,60,6995.8,Office,1
   135-05,  20 AVENUE         ,QUEENS,11356,In Compliance ,80,918.4,Retail Store,1
519,GATEWAY DRIVE       ,BROOKLYN            ,11239,In Compliance ,77,1104.4,Retail Store,1
2900,VETERANS ROAD WEST  ,STATEN ISLAND       ,10309,In Compliance ,79,903.4,Retail Store,1
2,PARK AVENUE         ,MANHATTAN,10016,In Compliance ,77,5434.3,Office,1
60,BROAD STREET        ,MANHATTAN,10004,In Compliance ,72,7607.5,Office,1
130,EAST   59 STREET    ,MANHATTAN,10022,In Compliance ,89,1091.8,Office,1
522,   1 AVENUE         ,MANHATTAN,10016,In Compliance ,21,37954.9,Hospital (General Medical & Surgical),1
535,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,74,3077.7,Financial Office,1
866,UNITED NATIONS PLAZA,MANHATTAN,10017,In Compliance ,79,2587.6,Office,1
689,   5 AVENUE         ,MANHATTAN,10022,In Compliance ,22,884,Office,1
141,WEST   53 STREET    ,MANHATTAN,10019,In Compliance ,81,4948.9,Office,1
787,   1 AVENUE         ,MANHATTAN,10017,In Compliance ,40,6292.8,Office,1
323,EAST   44 STREET    ,MANHATTAN,10017,In Compliance ,67,3929.2,Office,1
590,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,60,14801.3,Office,1
522,   5 AVENUE         ,MANHATTAN,10036,In Compliance ,87,2927.5,Financial Office,1
49,WEST   52 STREET    ,MANHATTAN,10019,In Compliance ,75,6007.7,Office,1
1301,AVENUE OF THE AMER  ,MANHATTAN,10019,In Compliance ,68,15841.8,Office,3
1255,AMSTERDAM AVENUE    ,MANHATTAN,10027,In Compliance ,100,435.5,Office,2
527,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,78,1260.7,Office,1
220,WEST   19 STREET    ,MANHATTAN,10011,In Compliance ,75,566.3,Office,1
1240,BROADWAY            ,MANHATTAN,10001,In Compliance ,80,5281.9,Office,1
505,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,97,727.7,Office,1
    56-45,MAIN STREET         ,QUEENS,11355,In Compliance ,53,11585.9,Hospital (General Medical & Surgical),1
55,EAST   59 STREET    ,MANHATTAN,10022,In Compliance ,72,1703.2,Office,1
815,   8 AVENUE         ,MANHATTAN,10019,In Compliance ,74,11430.6,Office,1
302,   2 AVENUE         ,MANHATTAN,10003,In Compliance ,23,6348.7,Hospital (General Medical & Surgical),1
1368,AVENUE OF THE AMER  ,MANHATTAN,10019,In Compliance ,47,2957.7,Office,1
1070,   5 AVENUE         ,MANHATTAN,10128,In Compliance ,37,1004,Office,1
199,WATER STREET        ,MANHATTAN,10038,In Compliance ,85,5008,Office,1
592,   7 AVENUE         ,MANHATTAN,10036,In Compliance ,67,7698.9,Office,1
250,HUDSON STREET       ,MANHATTAN,10013,In Compliance ,91,2276.5,Office,1
78,VANDAM STREET       ,MANHATTAN,10013,In Compliance ,82,2332.4,Office,1
667,MADISON AVENUE      ,MANHATTAN,10065,In Compliance ,69,1414.8,Office,1
111,EAST   58 STREET    ,MANHATTAN,10022,In Compliance ,42,5161.9,Office,1
8,WEST   40 STREET    ,MANHATTAN,10018,In Compliance ,67,1025.4,Office,1
151,AVENUE OF THE AMER  ,MANHATTAN,10013,In Compliance ,92,1206.4,Office,1
485,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,76,1661.7,Office,1
3041,BROADWAY            ,MANHATTAN,10027,In Compliance ,65,1834.1,Residence Hall/Dormitory,1
    54-09, 100 STREET         ,QUEENS,11368,In Compliance ,54,681.5,Multifamily Housing,2
540,PARK AVENUE         ,MANHATTAN,10065,In Compliance ,49,2539.2,Hotel,1
299,PARK AVENUE         ,MANHATTAN,10017,In Compliance ,51,10529.8,Financial Office,1
401,   7 AVENUE         ,MANHATTAN,10001,In Compliance ,51,12549.7,Hotel,1
444,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,57,3131.6,Office,1
399,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,72,12509.9,Office,1
70,BATTERY PLACE       ,MANHATTAN,10280,In Compliance ,69,2513.8,Multifamily Housing,1
211,NORTH END AVENUE    ,MANHATTAN,10282,In Compliance ,27,1676.8,Multifamily Housing,1
20,RIVER TERRACE       ,MANHATTAN,10282,In Compliance ,8,2456.7,Multifamily Housing,1
736,AVENUE OF THE AMER  ,MANHATTAN,10010,In Compliance ,23,1800.7,Multifamily Housing,1
283,PLATINUM AVENUE     ,STATEN ISLAND       ,10314,In Compliance ,90,639.2,Retail Store,1
2360,BEDFORD AVENUE      ,BROOKLYN            ,11226,In Compliance ,72,893.9,Retail Store,1
555,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,89,2257.3,Office,1
424,  10 AVENUE         ,MANHATTAN,10001,In Compliance ,36,14751.1,Hospital (General Medical & Surgical),1
1091,AMSTERDAM AVENUE    ,MANHATTAN,10025,In Compliance ,97,10919.9,Hospital (General Medical & Surgical),7
55,BROADWAY            ,MANHATTAN,10006,In Compliance ,79,2260.1,Office,1
19,LIBERTY STREET      ,MANHATTAN,10005,In Compliance ,51,8040.3,Office,1
3201,KINGS HIGHWAY       ,BROOKLYN            ,11234,In Compliance ,100,1126.5,Hospital (General Medical & Surgical),1
225,STEUBEN STREET      ,BROOKLYN            ,11205,In Compliance ,1,934.7,K-12 School,1
333,WAVERLY AVENUE      ,BROOKLYN            ,11205,In Compliance ,30,348.4,K-12 School,1
65,ST JAMES PLACE      ,BROOKLYN            ,11238,In Compliance ,20,781.9,K-12 School,1
215,WILLOUGHBY AVENUE   ,BROOKLYN            ,11205,In Compliance ,74,54.7,Retail Store,1
255,RYERSON STREET      ,BROOKLYN            ,11205,In Compliance ,11,56.6,K-12 School,3
80,WALL STREET         ,MANHATTAN,10005,In Compliance ,100,286.6,Office,1
82,WALL STREET         ,MANHATTAN,10005,In Compliance ,100,199.6,Office,1
1780,GRAND CONCOURSE     ,BRONX               ,10457,In Compliance ,86,892.9,Office,1
1275,BROADWAY            ,MANHATTAN,10001,In Compliance ,83,4718.7,Office,1
884,   3 AVENUE         ,MANHATTAN,10022,In Compliance ,53,17227.7,Office,1
540,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,63,2137.8,Office,1
90,CHURCH STREET       ,MANHATTAN,10007,In Compliance ,86,5856.9,Office,1
    61-20,COLONIAL AVENUE     ,QUEENS,11375,In Compliance ,11,3113.5,Multifamily Housing,2
432,MADISON AVENUE      ,MANHATTAN,10017,In Compliance ,75,2530.1,Office,1
761,   5 AVENUE         ,MANHATTAN,10022,In Compliance ,50,19018.3,Office,1
300,BAYCHESTER AVENUE   ,BRONX               ,10475,In Compliance ,75,552.4,Retail Store,1
1132,ST NICHOLAS AVENUE  ,MANHATTAN,10032,In Compliance ,1,7859.3,Office,1
1230,AVENUE OF THE AMER  ,MANHATTAN,10020,In Compliance ,59,5751,Office,4
610,   5 AVENUE         ,MANHATTAN,10112,In Compliance ,23,1269.2,Office,1
1260,AVENUE OF THE AMER  ,MANHATTAN,10020,In Compliance ,34,12376.2,Office,7
1250,AVENUE OF THE AMER  ,MANHATTAN,10020,In Compliance ,22,34711.2,Office,3
381,PARK AVENUE SOUTH   ,MANHATTAN,10016,In Compliance ,2,5839.3,Office,1
395,HUDSON STREET       ,MANHATTAN,10014,In Compliance ,64,4143.1,Office,1
330,WEST   34 STREET    ,MANHATTAN,10001,In Compliance ,99,2293.2,Office,1
40,FULTON STREET       ,MANHATTAN,10038,In Compliance ,63,1565.8,Office,1
48,WEST   57 STREET    ,MANHATTAN,10019,In Compliance ,77,540.4,Office,1
630,   3 AVENUE         ,MANHATTAN,10017,In Compliance ,83,1140.5,Office,1
407,   3 AVENUE         ,MANHATTAN,10016,In Compliance ,1,2334.9,Multifamily Housing,1
11,EAST   36 STREET    ,MANHATTAN,10016,In Compliance ,1,623.3,Multifamily Housing,1
68,REMSEN STREET       ,BROOKLYN            ,11201,In Compliance ,100,139.7,Multifamily Housing,1
30,EAST   37 STREET    ,MANHATTAN,10016,In Compliance ,88,381.9,Multifamily Housing,1
200,EAST   84 STREET    ,MANHATTAN,10028,In Compliance ,39,740,Multifamily Housing,1
644,GREENWICH STREET    ,MANHATTAN,10014,In Compliance ,45,366.1,Multifamily Housing,1
415,EAST   54 STREET    ,MANHATTAN,10022,In Compliance ,1,1211.8,Multifamily Housing,1
30,   3 AVENUE         ,MANHATTAN,10003,In Compliance ,94,1406.8,Multifamily Housing,1
425,EAST   51 STREET    ,MANHATTAN,10022,In Compliance ,100,280.5,Multifamily Housing,1
130,BARROW STREET       ,MANHATTAN,10014,In Compliance ,29,603.4,Multifamily Housing,1
411,EAST   57 STREET    ,MANHATTAN,10022,In Compliance ,38,699.4,Multifamily Housing,1
235,EAST   49 STREET    ,MANHATTAN,10017,In Compliance ,98,318.5,Multifamily Housing,1
257,WEST   86 STREET    ,MANHATTAN,10024,In Compliance ,79,356.5,Multifamily Housing,1
910,   5 AVENUE         ,MANHATTAN,10021,In Compliance ,43,769,Multifamily Housing,1
1025,   5 AVENUE         ,MANHATTAN,10028,In Compliance ,19,2036.1,Multifamily Housing,1
249,EAST   48 STREET    ,MANHATTAN,10017,In Compliance ,1,2517.6,Multifamily Housing,1
225,EAST   46 STREET    ,MANHATTAN,10017,In Compliance ,94,382.9,Multifamily Housing,1
419,EAST   57 STREET    ,MANHATTAN,10022,In Compliance ,74,712.1,Multifamily Housing,1
27,WEST   72 STREET    ,MANHATTAN,10023,In Compliance ,30,1321.8,Multifamily Housing,1
145,EAST   48 STREET    ,MANHATTAN,10017,In Compliance ,1,105756.1,Multifamily Housing,1
58,WEST   58 STREET    ,MANHATTAN,10019,In Compliance ,1,2132.8,Multifamily Housing,2
333,EAST   46 STREET    ,MANHATTAN,10017,In Compliance ,49,930.8,Multifamily Housing,1
966,   1 AVENUE         ,MANHATTAN,10022,In Compliance ,1,3107.8,Multifamily Housing,1
1114,MADISON AVENUE      ,MANHATTAN,10028,In Compliance ,91,254.8,Multifamily Housing,1
785,   5 AVENUE         ,MANHATTAN,10022,In Compliance ,17,969,Multifamily Housing,1
233,EAST   69 STREET    ,MANHATTAN,10021,In Compliance ,2,1495.7,Multifamily Housing,1
32,EAST   76 STREET    ,MANHATTAN,10021,In Compliance ,100,234,Multifamily Housing,1
520,EAST   76 STREET    ,MANHATTAN,10021,In Compliance ,10,887.5,Multifamily Housing,1
120,EAST   90 STREET    ,MANHATTAN,10128,In Compliance ,25,644.9,Multifamily Housing,1
721,MADISON AVENUE      ,MANHATTAN,10065,In Compliance ,4,712.3,Multifamily Housing,1
31,EAST   37 STREET    ,MANHATTAN,10016,In Compliance ,78,669.2,Multifamily Housing,1
163,EAST   81 STREET    ,MANHATTAN,10028,In Compliance ,77,378.3,Multifamily Housing,1
   139-22,BOOTH MEMORIAL AVE  ,QUEENS,11355,In Compliance ,9,3005.7,Hospital (General Medical & Surgical),1
1659,   2 AVENUE         ,MANHATTAN,10028,In Compliance ,53,1563.2,Multifamily Housing,1
1156,   3 AVENUE         ,MANHATTAN,10065,In Compliance ,7,1181.4,Multifamily Housing,1
48,EAST   89 STREET    ,MANHATTAN,10128,In Compliance ,23,1532.3,Multifamily Housing,1
345,EAST   81 STREET    ,MANHATTAN,10028,In Compliance ,75,887.3,Multifamily Housing,1
15,WEST   72 STREET    ,MANHATTAN,10023,In Compliance ,50,3116.3,Multifamily Housing,1
1230,PARK AVENUE         ,MANHATTAN,10128,In Compliance ,73,609.3,Multifamily Housing,1
2,SUTTON PLACE SOUTH  ,MANHATTAN,10022,In Compliance ,75,853.4,Multifamily Housing,1
300,RIVERSIDE DRIVE     ,MANHATTAN,10025,In Compliance ,95,667.1,Multifamily Housing,1
127,WEST   79 STREET    ,MANHATTAN,10024,In Compliance ,83,521.6,Multifamily Housing,1
255,EAST   49 STREET    ,MANHATTAN,10017,In Compliance ,68,820.8,Multifamily Housing,1
220,EAST   73 STREET    ,MANHATTAN,10021,In Compliance ,58,604.1,Multifamily Housing,1
215,EAST   73 STREET    ,MANHATTAN,10021,In Compliance ,62,482.7,Multifamily Housing,1
235,EAST   73 STREET    ,MANHATTAN,10021,In Compliance ,90,369.5,Multifamily Housing,1
44,GRAMERCY PARK       ,MANHATTAN,10010,In Compliance ,79,461.6,Multifamily Housing,1
1296,   3 AVENUE         ,MANHATTAN,10021,In Compliance ,46,1004.5,Multifamily Housing,1
970,PARK AVENUE         ,MANHATTAN,10028,In Compliance ,50,561.7,Multifamily Housing,1
201,WEST   72 STREET    ,MANHATTAN,10023,In Compliance ,1,2231.2,Multifamily Housing,1
120,EAST   36 STREET    ,MANHATTAN,10016,In Compliance ,75,434.6,Multifamily Housing,1
   110-45,QUEENS BOULEVARD    ,QUEENS,11375,In Compliance ,95,1052.7,Multifamily Housing,1
800,GRAND CONCOURSE     ,BRONX               ,10451,In Compliance ,56,2210.2,Multifamily Housing,1
306,WEST   56 STREET    ,MANHATTAN,10019,In Compliance ,84,430.3,Multifamily Housing,1
425,MADISON AVENUE      ,MANHATTAN,10017,In Compliance ,19,815.8,Office,1
6,EAST   45 STREET    ,MANHATTAN,10017,In Compliance ,11,893.3,Office,1
695,LEXINGTON AVENUE    ,MANHATTAN,10022,In Compliance ,48,700.6,Office,1
152,WEST   57 STREET    ,MANHATTAN,10019,In Compliance ,64,4300.6,Office,1
387,PARK AVENUE SOUTH   ,MANHATTAN,10016,In Compliance ,84,1134.8,Office,1
681,   5 AVENUE         ,MANHATTAN,10022,In Compliance ,18,368.4,Office,1
137,VARICK STREET       ,MANHATTAN,10013,In Compliance ,91,420.6,Office,1
100,AVENUE OF THE AMER  ,MANHATTAN,10013,In Compliance ,59,2583.2,Office,1
423,HUDSON STREET       ,MANHATTAN,10014,In Compliance ,50,2253.4,Office,1
225,VARICK STREET       ,MANHATTAN,10014,In Compliance ,88,1689.2,Office,1
431,CANAL STREET        ,MANHATTAN,10013,In Compliance ,77,6328.6,Office,1
1072,HAVEMEYER AVENUE    ,BRONX               ,10462,In Compliance ,64,1067.2,Senior Care Community,1
1601,BROADWAY            ,MANHATTAN,10036,In Compliance ,39,6599.7,Hotel,1
230,PARK AVENUE SOUTH   ,MANHATTAN,10003,In Compliance ,74,1836.5,Office,1
563,   5 AVENUE         ,MANHATTAN,10017,In Compliance ,46,2617.4,Office,1
931,LEXINGTON AVENUE    ,MANHATTAN,10065,In Compliance ,81,2895.6,Multifamily Housing,1
579,   5 AVENUE         ,MANHATTAN,10017,In Compliance ,62,720.1,Office,1
43,WATER STREET        ,MANHATTAN,10041,In Compliance ,57,32076.6,Office,1
165,EAST   56 STREET    ,MANHATTAN,10022,In Compliance ,64,448.9,Office,1
1740,GRAND AVENUE        ,BRONX               ,10453,In Compliance ,72,522.8,Multifamily Housing,1
118,   5 AVENUE         ,MANHATTAN,10011,In Compliance ,41,542.2,Office,1
100,MYRTLE AVENUE       ,BROOKLYN            ,11201,In Compliance ,96,6725.9,Office,1
154,EAST   52 STREET    ,MANHATTAN,10022,In Compliance ,40,2398.6,Office,1
641,   5 AVENUE         ,MANHATTAN,10022,In Compliance ,36,3866.9,Office,1
656,   1 AVENUE         ,MANHATTAN,10016,In Compliance ,7,2014.7,Medical Office,1
415,PARK AVENUE SOUTH   ,MANHATTAN,10016,In Compliance ,78,1305.9,Office,1
200,HUDSON STREET       ,MANHATTAN,10013,In Compliance ,94,1976.3,Office,1
348,HUDSON STREET       ,MANHATTAN,10014,In Compliance ,85,1556.3,Office,1
304,HUDSON STREET       ,MANHATTAN,10013,In Compliance ,50,1757.5,Office,1
160,VARICK STREET       ,MANHATTAN,10013,In Compliance ,71,2656.7,Office,1
645,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,37,1979.4,Office,1
1600,SEDGWICK AVENUE     ,BRONX               ,10453,In Compliance ,58,2508.5,Multifamily Housing,2
305,EAST   47 STREET    ,MANHATTAN,10017,In Compliance ,75,958.3,Office,1
795,GARDEN STREET       ,BRONX               ,10460,In Compliance ,78,565.3,Multifamily Housing,1
587,EAST  167 STREET    ,BRONX               ,10456,In Compliance ,78,318.2,Multifamily Housing,1
1956,CROTONA PARKWAY     ,BRONX               ,10460,In Compliance ,9,530.1,Multifamily Housing,1
1025,GERARD AVENUE       ,BRONX               ,10452,In Compliance ,70,358.8,Multifamily Housing,1
1015,GERARD AVENUE       ,BRONX               ,10452,In Compliance ,46,412.4,Multifamily Housing,1
880,THIERIOT AVENUE     ,BRONX               ,10473,In Compliance ,31,1442.7,Multifamily Housing,2
145,EAST   57 STREET    ,MANHATTAN,10022,In Compliance ,90,356.3,Office,1
35,WEST   33 STREET    ,MANHATTAN,10001,In Compliance ,53,657.7,Multifamily Housing,1
461,   8 AVENUE         ,MANHATTAN,10001,In Compliance ,77,4708.4,Office,1
    47-00,NORTHERN BOULEVARD  ,QUEENS,11101,In Compliance ,22,616.9,Distribution Center,1
481,   8 AVENUE         ,MANHATTAN,10001,In Compliance ,48,8189.6,Hotel,1
10,WEST   47 STREET    ,MANHATTAN,10036,In Compliance ,41,768.4,Office,1
   112-02,  15 AVENUE         ,QUEENS,11356,In Compliance ,1,4358.5,Non-Refrigerated Warehouse,1
730,   5 AVENUE         ,MANHATTAN,10019,In Compliance ,67,2267.5,Office,1
599,  11 AVENUE         ,MANHATTAN,10036,In Compliance ,85,212,Office,1
57,EAST   11 STREET    ,MANHATTAN,10003,In Compliance ,85,317.1,Office,1
26,WEST   17 STREET    ,MANHATTAN,10011,In Compliance ,98,371.7,Office,1
