Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Primary Property Type - Self Selected,DOF Number of Buildings
653,  11 AVENUE         ,MANHATTAN,10036,In Compliance ,31,1190.2,Hotel,1
1050,RIVERSIDE DRIVE     ,MANHATTAN,10032,In Compliance ,20,4573.1,Office,1
122,WEST   27 STREET    ,MANHATTAN,10001,In Compliance ,78,698.5,Office,1
259,  10 AVENUE         ,MANHATTAN,10001,In Compliance ,39,1249.9,K-12 School,1
374,BROADWAY            ,MANHATTAN,10013,In Compliance ,79,557.6,Multifamily Housing,1
2,PENN PLAZA          ,MANHATTAN,10001,In Compliance ,79,10263.2,Office,1
90,PARK AVENUE         ,MANHATTAN,10016,In Compliance ,55,7773.2,Office,1
    92-59,  59 AVENUE         ,QUEENS,11373,In Compliance ,80,1013.5,Retail Store,1
776,   3 AVENUE         ,MANHATTAN,10017,In Compliance ,79,3056.8,Financial Office,1
888,   7 AVENUE         ,MANHATTAN,10019,In Compliance ,64,7389.9,Office,1
680,   5 AVENUE         ,MANHATTAN,10019,In Compliance ,77,1396.3,Office,1
375,HUDSON STREET       ,MANHATTAN,10014,In Compliance ,81,5887.4,Office,1
    89-10,VAN WYCK EXPWY SR W ,QUEENS,11418,In Compliance ,100,323.4,Hospital (General Medical & Surgical),2
1166,AVENUE OF THE AMER  ,MANHATTAN,10036,In Compliance ,63,15118.2,Office,1
730,   3 AVENUE         ,MANHATTAN,10017,In Compliance ,84,4445.4,Office,1
477,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,97,980,Office,1
405,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,71,3499,Office,1
11,MADISON AVENUE      ,MANHATTAN,10010,In Compliance ,90,15889.6,Office,1
230,WEST   56 STREET    ,MANHATTAN,10019,In Compliance ,71,4074.9,Office,1
355,LEXINGTON AVENUE    ,MANHATTAN,10017,In Compliance ,88,1239.1,Office,1
110,MAIDEN LANE         ,MANHATTAN,10005,In Compliance ,57,9435.6,Office,1
641,LEXINGTON AVENUE    ,MANHATTAN,10022,In Compliance ,61,3611.1,Office,1
560,LEXINGTON AVENUE    ,MANHATTAN,10022,In Compliance ,82,1733.9,Office,1
55,BROAD STREET        ,MANHATTAN,10004,In Compliance ,65,3319.8,Office,1
1,WHITEHALL STREET    ,MANHATTAN,10004,In Compliance ,67,2606.4,Office,1
845,   3 AVENUE         ,MANHATTAN,10022,In Compliance ,68,2698.7,Office,1
24,WHITEHALL STREET    ,MANHATTAN,10004,In Compliance ,46,8637.6,Office,1
41,EAST   51 STREET    ,MANHATTAN,10022,In Compliance ,82,3264.6,Office,1
520,   8 AVENUE         ,MANHATTAN,10018,In Compliance ,80,4711.5,Office,1
120,BROADWAY            ,MANHATTAN,10005,In Compliance ,88,9874.1,Office,1
529,   5 AVENUE         ,MANHATTAN,10017,In Compliance ,76,1682.7,Office,1
19,EAST   57 STREET    ,MANHATTAN,10022,In Compliance ,44,871,Office,1
65,EAST   55 STREET    ,MANHATTAN,10022,In Compliance ,76,3981.2,Office,1
553,   5 AVENUE         ,MANHATTAN,10017,In Compliance ,81,1332.9,Office,1
750,   7 AVENUE         ,MANHATTAN,10019,In Compliance ,79,3952.1,Office,1
880,   3 AVENUE         ,MANHATTAN,10022,In Compliance ,63,760.8,Office,1
235,WEST   56 STREET    ,MANHATTAN,10019,In Compliance ,1,2097196.5,Multifamily Housing,1
1120,AVENUE OF THE AMER  ,MANHATTAN,10036,In Compliance ,83,3682,Office,1
369,PARK AVENUE SOUTH   ,MANHATTAN,10016,In Compliance ,25,1285.1,Office,1
341,HUDSON STREET       ,MANHATTAN,10014,In Compliance ,71,6714,Office,1
512,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,74,6846.1,Financial Office,1
1,LIBERTY PLAZA       ,MANHATTAN,10006,In Compliance ,84,19360.4,Office,1
1,WATER STREET        ,MANHATTAN,10004,In Compliance ,61,28473.3,Office,1
245,PARK AVENUE         ,MANHATTAN,10017,In Compliance ,77,14211,Office,1
